Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JB379829,08/05/2018 02:15:00 AM,063XX S NORMAL BLVD,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0722,20,08B,1174042,1862699,2018,41.778651054,-87.63749616,"(41.778651054, -87.63749616)"
JB379822,08/05/2018 02:24:00 AM,036XX E 106TH ST,0860,THEFT,RETAIL THEFT,STREET,true,false,0432,10,06,1202048,1835277,2018,41.702735533,-87.535758048,"(41.702735533, -87.535758048)"
JB380373,08/05/2018 02:26:00 AM,047XX W GLADYS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,1131,24,14,1144798,1897934,2018,41.875940367,-87.743821518,"(41.875940367, -87.743821518)"
JB379835,08/05/2018 02:26:00 AM,047XX W GLADYS AVE,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,1131,24,04B,1144798,1897934,2018,41.875940367,-87.743821518,"(41.875940367, -87.743821518)"
JB379848,08/05/2018 02:26:00 AM,063XX N LEAVITT ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,false,2413,50,14,1160488,1942236,2018,41.997197687,-87.684983062,"(41.997197687, -87.684983062)"
JB379825,08/05/2018 02:26:00 AM,040XX N SHERIDAN RD,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1915,46,08B,1168882,1926844,2018,41.954783072,-87.654553634,"(41.954783072, -87.654553634)"
JB379903,08/05/2018 02:28:00 AM,008XX S STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0123,2,06,1176487,1896508,2018,41.871371147,-87.627514417,"(41.871371147, -87.627514417)"
JB382151,08/05/2018 02:30:00 AM,003XX W NORTH AVE,0810,THEFT,OVER $500,STREET,false,false,1821,27,06,1173466,1910969,2018,41.911120602,-87.638175421,"(41.911120602, -87.638175421)"
JB381105,08/05/2018 02:30:00 AM,024XX N CENTRAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,2515,30,08B,1138636,1915647,2018,41.9246609,-87.766016429,"(41.9246609, -87.766016429)"
JB379820,08/05/2018 02:30:00 AM,052XX S PRAIRIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0231,3,05,1178930,1870332,2018,41.799486805,-87.619344151,"(41.799486805, -87.619344151)"
JB379877,08/05/2018 02:30:00 AM,026XX N HOYNE AVE,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,RESIDENCE,false,false,1931,1,14,1162365,1917562,2018,41.929451882,-87.678771704,"(41.929451882, -87.678771704)"
JB381921,08/05/2018 02:32:00 AM,026XX W 12TH PL,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1023,28,04B,1158799,1894289,2018,41.865662741,-87.692514518,"(41.865662741, -87.692514518)"
JB379831,08/05/2018 02:33:00 AM,011XX W ARGYLE ST,0334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,CTA PLATFORM,false,false,2033,48,03,1167773,1933570,2018,41.973263481,-87.658435722,"(41.973263481, -87.658435722)"
JB380477,08/05/2018 02:39:00 AM,020XX N OAKLEY AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),false,false,1432,32,26,1160710,1913394,2018,41.918049113,-87.684969156,"(41.918049113, -87.684969156)"
JB379998,08/05/2018 02:40:00 AM,083XX S THROOP ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,false,false,0613,21,02,1169113,1849452,2018,41.74240758,-87.655948608,"(41.74240758, -87.655948608)"
JB380203,08/05/2018 02:45:00 AM,047XX W GLADYS AVE,0810,THEFT,OVER $500,APARTMENT,false,false,1131,24,06,1144947,1897938,2018,41.875948534,-87.743274336,"(41.875948534, -87.743274336)"
JB379845,08/05/2018 02:45:00 AM,079XX S RICHMOND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0835,18,08B,1158093,1851761,2018,41.748974794,-87.696263553,"(41.748974794, -87.696263553)"
JB379871,08/05/2018 02:45:00 AM,029XX W MONROE ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,true,1124,2,05,1156738,1899612,2018,41.88031156,-87.699936386,"(41.88031156, -87.699936386)"
JB379861,08/05/2018 02:46:00 AM,0000X N LONG AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,1522,28,08B,1140341,1899716,2018,41.880913243,-87.760142556,"(41.880913243, -87.760142556)"
JB379940,08/05/2018 02:50:00 AM,015XX S CALIFORNIA BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,true,false,1023,28,15,1157937,1892401,2018,41.860499487,-87.695730449,"(41.860499487, -87.695730449)"
JB379863,08/05/2018 02:50:00 AM,002XX S PULASKI RD,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1115,28,04B,1149764,1898631,2018,41.87775797,-87.725569852,"(41.87775797, -87.725569852)"
JB379864,08/05/2018 02:50:00 AM,010XX W PRATT BLVD,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,PARK PROPERTY,false,false,2431,49,03,1167730,1945346,2018,42.005578021,-87.658252499,"(42.005578021, -87.658252499)"
JB379867,08/05/2018 02:55:00 AM,034XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,1123,28,08B,1153399,1898475,2018,41.87725848,-87.712227112,"(41.87725848, -87.712227112)"
JB379900,08/05/2018 02:59:00 AM,004XX E 61ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESTAURANT,true,false,0313,20,15,1180053,1864658,2018,41.783891154,-87.615399623,"(41.783891154, -87.615399623)"
JB381944,08/05/2018 03:00:00 AM,024XX N KEELER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2524,31,06,1147974,1915954,2018,41.925328679,-87.731696262,"(41.925328679, -87.731696262)"
JB381187,08/05/2018 03:00:00 AM,027XX S VERNON AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0133,4,02,1179802,1886442,2018,41.843673986,-87.615652852,"(41.843673986, -87.615652852)"
JB379906,08/05/2018 03:00:00 AM,054XX N ELSTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1621,45,07,1140460,1935678,2018,41.97959452,-87.758820763,"(41.97959452, -87.758820763)"
JB380125,08/05/2018 03:00:00 AM,045XX S CALIFORNIA AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0922,12,08B,1158461,1874492,2018,41.811344421,-87.694296042,"(41.811344421, -87.694296042)"
JB380352,08/05/2018 03:00:00 AM,011XX N AUSTIN BLVD,0870,THEFT,POCKET-PICKING,STREET,false,false,1511,29,06,1136159,1906967,2018,41.90088655,-87.775325658,"(41.90088655, -87.775325658)"
JB379854,08/05/2018 03:00:00 AM,008XX N ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,1121,27,08B,1152897,1905279,2018,41.895939304,-87.713889988,"(41.895939304, -87.713889988)"
JB379862,08/05/2018 03:00:00 AM,051XX S PRAIRIE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0231,3,04B,1178914,1870931,2018,41.80113088,-87.619384581,"(41.80113088, -87.619384581)"
JB379892,08/05/2018 03:00:00 AM,006XX N FRANKLIN ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1831,42,06,1174211,1904618,2018,41.893676531,-87.635628328,"(41.893676531, -87.635628328)"
JB379888,08/05/2018 03:15:00 AM,063XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,STREET,false,false,0312,20,08A,1180013,1862919,2018,41.779120086,-87.615599494,"(41.779120086, -87.615599494)"
JB379866,08/05/2018 03:15:00 AM,023XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,STREET,false,false,1414,35,08B,1156742,1915611,2018,41.924214127,-87.699487638,"(41.924214127, -87.699487638)"
JB379887,08/05/2018 03:19:00 AM,039XX W 63RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0823,13,08B,1151185,1862535,2018,41.778677993,-87.721296466,"(41.778677993, -87.721296466)"
JB379840,08/05/2018 03:21:00 AM,013XX S MILLARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1011,24,01A,1152254,1893538,2018,41.863733464,-87.716561504,"(41.863733464, -87.716561504)"
JB379882,08/05/2018 03:21:00 AM,003XX W ERIE ST,2012,NARCOTICS,MANU/DELIVER:COCAINE,SIDEWALK,true,false,1831,42,18,1174061,1904721,2018,41.893962515,-87.636176148,"(41.893962515, -87.636176148)"
